n_calib,K,rep,task_seed,method,interval_left,interval_right,interval_length,satisfies_picpi
1000,100,16,3657105292,Empirical mode,0.08,0.13,0.05,True
1000,100,16,3657105292,Empirical mode,0.13,0.16,0.03,True
1000,100,16,3657105292,Empirical mode,0.16,0.17,0.010000000000000009,False
1000,100,16,3657105292,Empirical mode,0.17,0.28,0.11000000000000001,True
1000,100,16,3657105292,Empirical mode,0.28,0.41000000000000003,0.13,True
1000,100,16,3657105292,Empirical mode,0.41000000000000003,0.48,0.06999999999999995,True
1000,100,16,3657105292,Empirical mode,0.48,0.62,0.14,True
1000,100,16,3657105292,Empirical mode,0.62,0.67,0.050000000000000044,True
1000,100,16,3657105292,Empirical mode,0.67,0.77,0.09999999999999998,True
1000,100,16,3657105292,Empirical mode,0.77,0.84,0.06999999999999995,True
1000,100,16,3657105292,Empirical mode,0.84,0.89,0.050000000000000044,True
1000,100,16,3657105292,Empirical mode,0.89,0.9,0.010000000000000009,False
1000,100,16,3657105292,Empirical mode,0.9,0.96,0.05999999999999994,True
1000,100,16,3657105292,Empirical mode,0.96,0.98,0.020000000000000018,True
1000,100,16,3657105292,Empirical mode,0.98,1.0,0.020000000000000018,True
1000,100,17,584702789,Empirical mode,0.0,0.03,0.03,True
1000,100,17,584702789,Empirical mode,0.03,0.08,0.05,True
1000,100,17,584702789,Empirical mode,0.08,0.1,0.020000000000000004,True
1000,100,17,584702789,Empirical mode,0.1,0.13,0.03,True
1000,100,17,584702789,Empirical mode,0.13,0.22,0.09,True
1000,100,17,584702789,Empirical mode,0.22,0.24,0.01999999999999999,False
1000,100,17,584702789,Empirical mode,0.24,0.31,0.07,True
1000,100,17,584702789,Empirical mode,0.31,0.4,0.09000000000000002,True
1000,100,17,584702789,Empirical mode,0.4,0.61,0.20999999999999996,True
1000,100,17,584702789,Empirical mode,0.61,0.65,0.040000000000000036,True
1000,100,17,584702789,Empirical mode,0.65,0.73,0.07999999999999996,True
1000,100,17,584702789,Empirical mode,0.73,0.88,0.15000000000000002,True
1000,100,17,584702789,Empirical mode,0.88,0.93,0.050000000000000044,True
1000,100,17,584702789,Empirical mode,0.93,0.9500000000000001,0.020000000000000018,True
1000,100,17,584702789,Empirical mode,0.9500000000000001,0.99,0.039999999999999925,True
1000,100,17,584702789,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,18,278612057,Empirical mode,0.0,0.06,0.06,True
1000,100,18,278612057,Empirical mode,0.06,0.12,0.06,True
1000,100,18,278612057,Empirical mode,0.12,0.14,0.020000000000000018,True
1000,100,18,278612057,Empirical mode,0.14,0.15,0.009999999999999981,False
1000,100,18,278612057,Empirical mode,0.15,0.19,0.04000000000000001,True
1000,100,18,278612057,Empirical mode,0.19,0.29,0.09999999999999998,True
1000,100,18,278612057,Empirical mode,0.29,0.45,0.16000000000000003,True
1000,100,18,278612057,Empirical mode,0.45,0.52,0.07,True
1000,100,18,278612057,Empirical mode,0.52,0.62,0.09999999999999998,True
1000,100,18,278612057,Empirical mode,0.62,0.7000000000000001,0.08000000000000007,True
1000,100,18,278612057,Empirical mode,0.7000000000000001,0.73,0.029999999999999916,True
1000,100,18,278612057,Empirical mode,0.73,0.78,0.050000000000000044,True
1000,100,18,278612057,Empirical mode,0.78,0.8300000000000001,0.050000000000000044,True
1000,100,18,278612057,Empirical mode,0.8300000000000001,0.85,0.019999999999999907,True
1000,100,18,278612057,Empirical mode,0.85,0.98,0.13,True
1000,100,18,278612057,Empirical mode,0.98,1.0,0.020000000000000018,True
1000,100,19,4136879660,Empirical mode,0.0,0.03,0.03,True
1000,100,19,4136879660,Empirical mode,0.03,0.09,0.06,True
1000,100,19,4136879660,Empirical mode,0.09,0.13,0.04000000000000001,True
1000,100,19,4136879660,Empirical mode,0.13,0.32,0.19,True
1000,100,19,4136879660,Empirical mode,0.32,0.44,0.12,True
1000,100,19,4136879660,Empirical mode,0.44,0.49,0.04999999999999999,True
1000,100,19,4136879660,Empirical mode,0.49,0.54,0.050000000000000044,True
1000,100,19,4136879660,Empirical mode,0.54,0.64,0.09999999999999998,True
1000,100,19,4136879660,Empirical mode,0.64,0.72,0.07999999999999996,True
1000,100,19,4136879660,Empirical mode,0.72,0.74,0.020000000000000018,True
1000,100,19,4136879660,Empirical mode,0.74,0.77,0.030000000000000027,True
1000,100,19,4136879660,Empirical mode,0.77,0.8200000000000001,0.050000000000000044,True
1000,100,19,4136879660,Empirical mode,0.8200000000000001,0.9,0.07999999999999996,True
1000,100,19,4136879660,Empirical mode,0.9,0.93,0.030000000000000027,True
1000,100,19,4136879660,Empirical mode,0.93,0.9500000000000001,0.020000000000000018,True
1000,100,19,4136879660,Empirical mode,0.9500000000000001,0.99,0.039999999999999925,True
1000,100,19,4136879660,Empirical mode,0.99,1.0,0.010000000000000009,True
1000,100,20,3130723125,Empirical mode,0.0,0.05,0.05,True
1000,100,20,3130723125,Empirical mode,0.05,0.1,0.05,True
1000,100,20,3130723125,Empirical mode,0.1,0.14,0.04000000000000001,True
1000,100,20,3130723125,Empirical mode,0.14,0.2,0.06,True
1000,100,20,3130723125,Empirical mode,0.2,0.22,0.01999999999999999,False
1000,100,20,3130723125,Empirical mode,0.22,0.33,0.11000000000000001,True
1000,100,20,3130723125,Empirical mode,0.33,0.34,0.010000000000000009,False
1000,100,20,3130723125,Empirical mode,0.34,0.41000000000000003,0.07,True
1000,100,20,3130723125,Empirical mode,0.41000000000000003,0.44,0.02999999999999997,True
1000,100,20,3130723125,Empirical mode,0.44,0.51,0.07,True
1000,100,20,3130723125,Empirical mode,0.51,0.58,0.06999999999999995,True
1000,100,20,3130723125,Empirical mode,0.58,0.77,0.19000000000000006,True
1000,100,20,3130723125,Empirical mode,0.77,0.8,0.030000000000000027,True
1000,100,20,3130723125,Empirical mode,0.8,0.89,0.08999999999999997,True
1000,100,20,3130723125,Empirical mode,0.89,0.97,0.07999999999999996,True
1000,100,20,3130723125,Empirical mode,0.97,1.0,0.030000000000000027,True
