method,target_coverage,n_completed_seeds,mean_avg_set_size,sd_avg_set_size,mean_macro_coverage,sd_macro_coverage,mean_worst_coverage,sd_worst_coverage,dgp_name,dgp_title
Conformal classification,0.5333333333333333,1000,0.5394009999999999,0.0158060599306257,0.32075684455486536,0.009156430317848414,0.0014212911344282156,0.002960894086208782,population_nonlinear,Population-style nonlinear
Conformal classification,0.6,1000,0.6104835000000001,0.015805609606878334,0.3645966577119362,0.010033637992560832,0.006785319255808101,0.007588801777096078,population_nonlinear,Population-style nonlinear
Conformal classification,0.6666666666666666,1000,0.687121,0.015766354586172947,0.41644909656821594,0.012481355352694882,0.027623403177981065,0.01712244778206282,population_nonlinear,Population-style nonlinear
Conformal classification,0.7333333333333333,1000,0.7734344999999999,0.016437751044757,0.48586867633298914,0.017087229312736023,0.09027233307594408,0.03277829497103536,population_nonlinear,Population-style nonlinear
Conformal classification,0.8,1000,0.876487,0.017096860344333192,0.5798402656446827,0.019293706324335066,0.22196114373447434,0.0419073695883326,population_nonlinear,Population-style nonlinear
Conformal classification,0.8666666666666667,1000,1.016369,0.020008965432967738,0.700470565619793,0.018898033508648677,0.4256138397891192,0.04259297478393348,population_nonlinear,Population-style nonlinear
Conformal classification,0.9333333333333332,1000,1.2466244999999998,0.029854648713387937,0.8402420846985479,0.014315664540248844,0.6847829485633772,0.03253782617171262,population_nonlinear,Population-style nonlinear
Conformal classification,1.0,1000,4.0,0.0,1.0,0.0,1.0,0.0,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.0,1000,0.0,0.0,0.0,0.0,0.0,0.0,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.0666666666666666,1000,0.06957899999999999,0.008741291047046155,0.05400817055717095,0.008212490406000621,0.02735325283637838,0.014740275419764222,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.1333333333333333,1000,0.137603,0.011101312090475154,0.11212803242070145,0.011630517526379228,0.07170728896238442,0.023555826820821555,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.2,1000,0.2085425,0.013369112795055892,0.17291948981057106,0.014054015456583484,0.12475355830372761,0.028292561953974858,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.2666666666666666,1000,0.284105,0.015257367474838576,0.23607726908084725,0.01598404211517957,0.18351274247664207,0.03158087666305123,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.3333333333333333,1000,0.36553199999999997,0.017236373416950813,0.300243230403925,0.016908301863252234,0.24560280172692467,0.0336784212001441,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.4,1000,0.4575785,0.01900163545329451,0.3721196959002138,0.01847004965709217,0.30969755351942246,0.036549965336875566,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.4666666666666667,1000,0.5185795,0.018998246316781806,0.43791378800992264,0.018610776500904643,0.3744461136455379,0.03822179299604482,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.5333333333333333,1000,0.6029025,0.02107232276082865,0.5031169583187662,0.019613629432049105,0.4416655536553462,0.04035951460799977,population_nonlinear,Population-style nonlinear
Fixed-width binning,0.6,1000,0.695299,0.02348326132722121,0.5698873732090562,0.019832266462549465,0.508158065105545,0.04149780104540257,population_nonlinear,Population-style nonlinear
