n_calib,width_mean,width_median,width_q90,width_q95,coverage,n_raw_intervals,n_intervals,rate_term,rep
1000,0.7107950000000001,0.7,0.77,0.77,1.0,420,420,0.19044912476405548,32
1000,0.7160700000000001,0.7,0.7899999999999999,0.8,1.0,373,373,0.19044912476405548,33
1000,0.7069500000000001,0.7,0.74,0.77,1.0,427,427,0.19044912476405548,34
1000,0.7016629999999999,0.6900000000000001,0.75,0.76,1.0,435,435,0.19044912476405548,35
1000,0.707534,0.7,0.77,0.79,1.0,411,411,0.19044912476405548,36
1000,0.699535,0.6900000000000001,0.75,0.77,1.0,449,449,0.19044912476405548,37
1000,0.707557,0.71,0.75,0.75,1.0,424,424,0.19044912476405548,38
1000,0.7032809999999999,0.6799999999999999,0.78,0.79,1.0,419,419,0.19044912476405548,39
1000,0.695655,0.6799999999999999,0.77,0.78,1.0,448,448,0.19044912476405548,40
1000,0.7100359999999999,0.69,0.7899999999999999,0.8,1.0,371,371,0.19044912476405548,41
1000,0.724815,0.7100000000000001,0.7899999999999999,0.8,1.0,357,357,0.19044912476405548,42
1000,0.7006330000000001,0.7,0.74,0.75,1.0,449,449,0.19044912476405548,43
1000,0.714377,0.7000000000000001,0.77,0.77,1.0,391,391,0.19044912476405548,44
1000,0.7090270000000001,0.7000000000000001,0.75,0.76,1.0,422,422,0.19044912476405548,45
1000,0.6957639999999999,0.68,0.76,0.76,1.0,461,461,0.19044912476405548,46
1000,0.681438,0.66,0.77,0.78,1.0,446,446,0.19044912476405548,47
1000,0.709925,0.7,0.76,0.77,1.0,417,417,0.19044912476405548,48
1000,0.7254,0.7100000000000001,0.79,0.8,1.0,359,359,0.19044912476405548,49
1000,0.7015469999999999,0.69,0.77,0.77,1.0,420,420,0.19044912476405548,50
1000,0.714825,0.7000000000000001,0.77,0.78,1.0,402,402,0.19044912476405548,51
1000,0.690149,0.6699999999999999,0.75,0.77,1.0,462,462,0.19044912476405548,52
1000,0.7294299999999999,0.72,0.77,0.8,1.0,361,361,0.19044912476405548,53
1000,0.701118,0.69,0.75,0.76,1.0,425,425,0.19044912476405548,54
1000,0.7052869999999999,0.6900000000000001,0.75,0.76,1.0,443,443,0.19044912476405548,55
1000,0.7010360000000001,0.6799999999999999,0.76,0.78,1.0,447,447,0.19044912476405548,56
1000,0.7009059999999999,0.6900000000000001,0.75,0.75,1.0,443,443,0.19044912476405548,57
1000,0.683072,0.6699999999999999,0.73,0.73,1.0,496,496,0.19044912476405548,58
1000,0.6974120000000001,0.68,0.77,0.77,1.0,423,423,0.19044912476405548,59
1000,0.723368,0.71,0.79,0.79,1.0,370,370,0.19044912476405548,60
1000,0.6840080000000001,0.6699999999999999,0.74,0.76,1.0,477,477,0.19044912476405548,61
1000,0.7177610000000001,0.71,0.77,0.79,1.0,385,385,0.19044912476405548,62
1000,0.705852,0.7,0.75,0.76,1.0,421,421,0.19044912476405548,63
1000,0.692887,0.68,0.73,0.73,1.0,480,480,0.19044912476405548,64
1000,0.7123010000000002,0.7,0.79,0.79,1.0,406,406,0.19044912476405548,65
1000,0.698342,0.68,0.74,0.76,1.0,457,457,0.19044912476405548,66
1000,0.7064290000000001,0.6900000000000001,0.78,0.79,1.0,411,411,0.19044912476405548,67
1000,0.7108140000000002,0.7,0.76,0.76,1.0,413,413,0.19044912476405548,68
1000,0.722514,0.71,0.78,0.78,1.0,375,375,0.19044912476405548,69
1000,0.723908,0.7100000000000001,0.78,0.79,1.0,371,371,0.19044912476405548,70
1000,0.713435,0.71,0.76,0.78,1.0,401,401,0.19044912476405548,71
1000,0.700084,0.69,0.76,0.78,1.0,448,448,0.19044912476405548,72
1000,0.710169,0.69,0.77,0.78,1.0,397,397,0.19044912476405548,73
1000,0.6979850000000001,0.6799999999999999,0.74,0.75,1.0,462,462,0.19044912476405548,74
1000,0.701233,0.6900000000000001,0.75,0.76,1.0,446,446,0.19044912476405548,75
1000,0.7062620000000001,0.7,0.77,0.77,1.0,412,412,0.19044912476405548,76
1000,0.718448,0.71,0.77,0.78,1.0,390,390,0.19044912476405548,77
1000,0.70673,0.69,0.7899999999999999,0.8,1.0,405,405,0.19044912476405548,78
1000,0.7051430000000001,0.68,0.78,0.79,1.0,408,408,0.19044912476405548,79
1000,0.706264,0.7,0.75,0.75,1.0,438,438,0.19044912476405548,80
1000,0.6878939999999999,0.68,0.72,0.72,1.0,486,486,0.19044912476405548,81
1000,0.707775,0.69,0.76,0.77,1.0,418,418,0.19044912476405548,82
1000,0.7015049999999999,0.68,0.7899999999999999,0.8,1.0,407,407,0.19044912476405548,83
1000,0.7101900000000001,0.7,0.78,0.79,1.0,412,412,0.19044912476405548,84
1000,0.708707,0.7000000000000001,0.76,0.77,1.0,410,410,0.19044912476405548,85
1000,0.724483,0.7100000000000001,0.78,0.79,1.0,367,367,0.19044912476405548,86
1000,0.710775,0.7,0.76,0.77,1.0,409,409,0.19044912476405548,87
1000,0.7061270000000001,0.6799999999999999,0.7899999999999999,0.8099999999999999,1.0,400,400,0.19044912476405548,88
1000,0.7027760000000001,0.7,0.75,0.76,1.0,431,431,0.19044912476405548,89
