Method,Average length,ECE,ECE mean p-hat,"Coverage [0,1]",Coverage p*,seed
Simultaneous confidence interval,0.4035422014778391,0.0619940492233967,0.027915225140822,,1.0,37
PICPI,0.1168188163265306,0.006948263034163,0.005865549227035,1.0,0.8156,37
Split conformal prediction,0.8717929536770155,0.2725469294760035,0.0206637594894862,,1.0,37
Calibration-based interval,0.02,0.0079936585768896,0.0058536886943005,0.48,0.2815,37
Fixed-width binning,0.02,0.0068551633867888,0.0068192509778181,1.0,0.3139,37
Simultaneous confidence interval,0.4085496227289951,0.0620393088145441,0.0330194071257143,,1.0,38
PICPI,0.1124246530612244,0.0091859318462086,0.0092109484380873,1.0,0.7794,38
Split conformal prediction,0.8608359689228248,0.2595898950300855,0.0256315947476531,,1.0,38
Calibration-based interval,0.02,0.0143873685769168,0.0098778769230164,0.48,0.2692,38
Fixed-width binning,0.02,0.009491344530254,0.0094653930376626,1.0,0.2784,38
Simultaneous confidence interval,0.413922248705556,0.0703429848834698,0.0307523246567277,,1.0,39
PICPI,0.1151657142857143,0.0064758431265443,0.0047422401355703,1.0,0.8085,39
Split conformal prediction,0.8644830518075445,0.2653956381505395,0.0231213369884443,,1.0,39
Calibration-based interval,0.02,0.0089219654924739,0.0046654306365168,0.52,0.2767,39
Fixed-width binning,0.02,0.0056288815736882,0.0056804720574654,1.0,0.2935,39
Simultaneous confidence interval,0.4096337844598843,0.0638172581776278,0.0320476330552361,,1.0,40
PICPI,0.0966375102040816,0.006489510940562,0.0065376004839885,1.0,0.7459,40
Split conformal prediction,0.8739036439202317,0.2730761473148086,0.0230906631436939,,1.0,40
Calibration-based interval,0.02,0.0091434141375444,0.0058576295092122,0.52,0.282,40
Fixed-width binning,0.02,0.0069101345372866,0.0069503572670738,1.0,0.2946,40
Simultaneous confidence interval,0.3971824607776846,0.0586399780930905,0.0359167088496815,,1.0,41
PICPI,0.134592693877551,0.0134232594134026,0.0148613236275106,1.0,0.7968,41
Split conformal prediction,0.8805632944659328,0.2805265725064155,0.026556758792499,,1.0,41
Calibration-based interval,0.02,0.0148548691032876,0.014647126359275,0.76,0.2721,41
Fixed-width binning,0.02,0.0148362508596305,0.0150523617916679,1.0,0.2706,41
Simultaneous confidence interval,0.4066471743455648,0.0683476670809649,0.0291982903023112,,1.0,42
PICPI,0.1094488163265306,0.006687794497225,0.0051455821337079,1.0,0.8148,42
Split conformal prediction,0.8634166449053841,0.2664173242020526,0.0221233573959152,,1.0,42
Calibration-based interval,0.02,0.0079005968586147,0.0051758589085478,0.6,0.2971,42
Fixed-width binning,0.02,0.0061089602201338,0.0060513232902668,1.0,0.3009,42
Simultaneous confidence interval,0.4063989437845782,0.0639428569392748,0.032591138951723,,1.0,43
PICPI,0.1020850612244898,0.016455291288145,0.01608589574597,1.0,0.7555,43
Split conformal prediction,0.873788418263754,0.2721972910159559,0.0241882015330703,,1.0,43
Calibration-based interval,0.0199999999999999,0.0138137258974263,0.0132290317374608,0.48,0.2727,43
Fixed-width binning,0.02,0.0161152352556026,0.0161452084066898,1.0,0.2876,43
Simultaneous confidence interval,0.3971588359817094,0.0516079643359706,0.025908771698738,,1.0,44
PICPI,0.1186278367346938,0.0115361739224532,0.0125323390315532,1.0,0.8588,44
Split conformal prediction,0.8721005473489415,0.2713672600828056,0.0210778826166897,,1.0,44
Calibration-based interval,0.02,0.0166073393985275,0.0151798131939926,0.62,0.2808,44
Fixed-width binning,0.02,0.0148014040587423,0.0148944888048613,1.0,0.2995,44
Simultaneous confidence interval,0.4021174041930265,0.0584947640470707,0.0267169678454508,,1.0,45
